localidad,lat_centro,lon_centro
9,36.7192152,-4.4231123
Abrucena,37.1332098,-2.797482
Acequias,36.9679323,-3.53951
Adamuz,38.0269999,-4.5245275
Adra,36.748834,-3.0203617
Agua Amarga,36.9398769,-1.9340288
Aguadulce,36.8124067,-2.5709688
Aguilar,37.5146967,-4.6567166
Alameda,37.207778,-4.6581597
Alanís,38.0365938,-5.7132497
Albaida del Aljarafe,37.425499,-6.1650572
Albanchez de Magina,37.7919927,-3.4678765
Albolote,37.3051688,-3.6615056
Albondón,36.8442063,-3.2068231
Albox,37.3880282,-2.1455544
Albuñol,36.7895221,-3.188296
Albuñuelas,36.9286025,-3.6234882
Albuñán,37.2270817,-3.1331968
Albánchez,37.2868617,-2.1813585
Alcaidesa,36.256538,-5.354359
Alcalá de Guadaíra,37.3397709,-5.8408396
Alcalá de los Gazules,36.4618805,-5.7238891
Alcalá del Río,37.5180979,-5.982018
Alcalá del Valle,36.9044094,-5.1720759
Alcalá la Real,37.4619794,-3.922384
Alcaracejos,38.3893241,-4.9673657
Alcaucín,36.9025563,-4.1140053
Alcaudete,37.5881403,-4.0812937
Alcolea,36.974836,-2.9613342
Alcudia de Guadix,37.26247,-3.100378
Alcántara,36.6983324,-6.0173608
Aldea Quintana,37.7116376,-4.8664277
Alfacar,37.2383551,-3.5663721
Alfarnate,36.9942627,-4.2604149
Alfornón,36.8183576,-3.2784523
Algaida,36.8266212,-2.4119381
Algar,36.6566286,-5.6564009
Algarinejo,37.2992473,-4.1754474
Algarrobo,36.7732439,-4.0399307
Algarrobo Costa,36.7466718,-4.0538159
Algatocín,36.5738231,-5.2747134
Algeciras,36.1311725,-5.4473991
Algodonales,36.879693,-5.4047755
Algámitas,37.0163821,-5.1488476
Alhama de Almería,36.9574546,-2.5667688
Alhama de Granada,37.0028286,-3.9891096
Alhaurín de la Torre,36.6627542,-4.562753
Alhaurín el Grande,36.6421248,-4.6867447
Alhendín,37.0607608,-3.7089885
Aljaraque,37.2664912,-7.0246859
Almaciles,37.9804199,-2.3381568
Almadén de la Plata,37.8736407,-6.0804954
Almayate Alto,36.7400775,-4.1581172
Almedinilla,37.4405255,-4.0961434
Almensilla,37.3100014,-6.1130523
Almeria,36.8685739,-2.3120282
Almerimar,36.707867,-2.8074558
Almería,36.8685739,-2.3120282
Almodóvar del Río,37.8112483,-5.0194742
Almogía,36.8261541,-4.5406993
Almonaster la Real,37.8721788,-6.7866023
Almonte,37.2611686,-6.5175751
Almuñécar,36.7703688,-3.7236281
Almuñécar granada,36.7348618,-3.7389697
Almáchar,36.808985,-4.2161584
Almócita,37.003137,-2.7904479
Alosno,37.5496719,-7.115795
Alozaina,36.727762,-4.8579969
Alpujarra de la Sierra,37.0223921,-3.1489049
Alquife,37.1901347,-3.1102621
Alájar,37.8746137,-6.6650601
Ambroz,37.1643527,-3.6637964
Andújar,38.0392362,-4.0505603
Antas,37.2452206,-1.9181629
Antequera,37.0183652,-4.5596649
Aracena,37.8949414,-6.5624496
Arboleas,37.3511387,-2.0742569
Arbuniel,37.6282633,-3.5380913
Archidona,37.0945779,-4.3906561
Arcos de la Frontera,36.7526913,-5.8122092
Ardales,36.8781793,-4.8468061
Arenas,36.8160239,-4.0441983
Arenas del Rey,36.9577036,-3.8944117
Arjona,37.9355989,-4.0544689
Arjonilla,37.9740992,-4.1068464
Armilla,37.1474703,-3.618511
Aroche,37.9436167,-6.9539589
Arriate,36.7991421,-5.1407457
Arroturas,38.0563377,-3.0499674
Arroyo Frío,38.2777611,-2.7418922
Arroyo de la Miel,36.5990832,-4.5350332
Arroyo de la Plata,37.68239,-6.2578904
Arroyo del Ojanco,38.3217918,-2.8934526
Arroyo-Pinares,37.332317,-3.7735872
Arroyomolinos de León,38.0235708,-6.4224907
Atajate,36.6399535,-5.2450791
Atalbéitar,36.9343628,-3.3103395
Atarfe,37.2226964,-3.6865662
Ayamonte,37.215797,-7.4060169
Aznalcázar,37.3035085,-6.2508499
Azuel,38.325628,-4.3282007
Bacarés,37.261184,-2.453323
Badolatosa,37.3062674,-4.672493
Baena,37.6173035,-4.324371
Baeza,37.9945171,-3.4708163
Bahía de Casares,36.3825083,-5.214605
Bailén,38.096787,-3.7765601
Balerma,36.7314101,-2.8870654
Barbate,36.1923983,-5.9192837
Bayacas,36.9193613,-3.4157776
Baza,37.4281633,-2.8475487
Baños de la Encina,38.1710134,-3.7744639
Baúl,37.4278882,-2.9285587
Beas,37.4254522,-6.7916123
Beas de Segura,38.2526786,-2.8908722
Bedmar,37.8221501,-3.411775
Beires,37.0120901,-2.7909185
Bejarín,37.3250316,-3.1625412
Belicena,37.1729422,-3.688527
Benacazón,37.3544497,-6.1961281
Benadalid,36.6062679,-5.2690514
Benahavís,36.5222736,-5.0441068
Benajarafe,36.7181256,-4.1954602
Benalauría,36.5942222,-5.261033
Benalmadena Costa,36.5931193,-4.5253759
Benalmádena,36.594519,-4.572284
Benalup-Casas Viejas,36.3449297,-5.8137236
Benalúa de Guadix,37.35113,-3.1636896
Benalúa de las Villas,37.4445116,-3.6502532
Benamahoma,36.7634575,-5.4653727
Benamargosa,36.8352646,-4.1935703
Benamaurel,37.6371246,-2.6825202
Benamejí,37.2671843,-4.540364
Benamocarra,36.7912509,-4.1616514
Benaocaz,36.7006416,-5.421687
Benaoján,36.7188117,-5.2533743
Benarrabá,36.5508289,-5.2756812
Benatae,38.3528099,-2.6517296
Benecid,36.9895988,-2.8592336
Berja,36.8428832,-2.945818
Bermejo,37.2213796,-4.6075153
Betis,36.0907717,-5.7176194
Bobadilla,37.0376401,-4.7279832
Bollullos de la Mitación,37.3399004,-6.1376821
Bolonia,36.0886603,-5.7738935
Bonanza,36.8032397,-6.3350091
Bonares,37.3214037,-6.683161
Bormujos,37.3715939,-6.07133
Bornos,36.8157427,-5.7434863
Brenes,37.5494873,-5.8724046
Brácana,37.4161526,-4.0568825
Bubión,36.9488544,-3.3570047
Buenas Noches,36.3931693,-5.2053765
Burguillos,37.5858509,-5.9678094
Burunchel,37.9463546,-2.9543017
Busquístar,36.958503,-3.2741671
Bácor,37.5320013,-2.9540569
Bédar,37.1909576,-1.9806488
Bélmez,38.272413,-5.2078919
Bélmez de la Moraleda,37.7238028,-3.3823692
Bérchules,37.0210663,-3.1999361
Béznar,36.9276488,-3.5412186
Cabo de Gata,36.7210296,-2.1932327
Cabopino,36.4867838,-4.7410244
Cabra,37.4718153,-4.4335616
Cabra del Santo Cristo,37.7036217,-3.2867065
Cabrillas,36.7687275,-4.1648873
Cacin,37.0599969,-3.9166908
Cala,37.9719249,-6.3168307
Calahonda,36.7013089,-3.4177163
Calahonda ,36.745261,-3.8759608
Calañas,37.6545062,-6.8786335
Caleta de Vélez,36.7490645,-4.067894
Camas,37.4020115,-6.0331571
Cambil,37.6768457,-3.5649212
Campano,36.3467065,-6.1397885
Campillo de Arenas,37.5552182,-3.6353369
Campillos,37.0470137,-4.8621698
Campofrío,37.7655617,-6.5767028
Campotéjar,37.5080964,-3.5925182
Canena,38.0481647,-3.4816832
Caniles,37.4362471,-2.722409
Canillas de Aceituno,36.8731665,-4.0821261
Canillas de Albaida,36.8461773,-3.9878112
Canjáyar,37.0104452,-2.7406217
Cantillana,37.6088766,-5.8244449
Cantoria,37.3524561,-2.1934809
Capileira,37.0061262,-3.3382082
Carataunas,36.9212808,-3.3960825
Carboneras,36.9968699,-1.8946552
Carcabuey,37.4438237,-4.2740867
Carchel,37.6536198,-3.6365151
Carchelejo,37.6356068,-3.6405311
Cardeña,38.2703085,-4.3227324
Carmona,37.4717882,-5.641291
Carratraca,36.8539382,-4.8209062
Carrión de los Céspedes,37.368131,-6.32942
Cartajima,36.6455316,-5.1539254
Cartaya,37.2829111,-7.1545752
Casabermeja,36.893528,-4.4287903
Casarabonela,36.7852106,-4.8430732
Casares,36.4433477,-5.2728863
Castaño de Robledo,37.8916857,-6.6912458
Castañuelo,37.9366285,-6.5807597
Castell de Ferro,36.7224798,-3.3591422
Castellar de Santisteban,38.2514993,-3.196072
Castellar de la Frontera,36.2867039,-5.4196952
Castil de Campos,37.4913219,-4.1423181
Castilblanco de los Arroyos,37.6750431,-5.9889206
Castilleja de la Cuesta,37.3867839,-6.054127
Castillo Bajo,36.7344843,-3.9626756
Castillo de Locubín,37.5279563,-3.9422486
Castillo de Sabinillas,36.3529996,-5.2325938
Castilléjar,37.717227,-2.6425103
Castril,37.7969475,-2.7814472
Castro del Río,37.6911602,-4.4826954
Cazalla de la Sierra,37.932188,-5.7595396
Cazorla,37.9128927,-3.0038873
Cañada Catena,38.274829,-2.7759567
Cañada Rosal,37.5976936,-5.2104153
Cañada del Gamo,38.2048761,-5.404825
Cañada del Rabadán,37.6528529,-5.0830228
Cañada del Real Tesoro,36.5942889,-5.3317735
Cañaveral de León,38.0148419,-6.5285331
Cañete la Real,36.9515951,-5.0246722
Ceal,37.7267425,-3.0475262
Cenes de la Vega,37.155931,-3.5411468
Cerro Muriano,38.0044987,-4.7682622
Chiclana de Segura,38.3115637,-3.0428203
Chiclana de la Frontera,36.4191096,-6.1460683
Chilches,36.7273635,-4.2234935
Chilluévar,38.0018558,-3.0314178
Chimeneas,37.1150529,-3.8406287
Chipiona,36.7355451,-6.4348221
Chipiona (Cádiz),36.7355451,-6.4348221
Chirivel,37.5959771,-2.2679281
Cogollos De La Vega,37.2755727,-3.572149
Cogollos de Guadix,37.2241755,-3.1610634
Colmenar,36.9053728,-4.3368078
Colomera,37.375215,-3.71082
Comares,36.8494448,-4.2480998
Conil de la Frontera,36.277054,-6.0881874
Conquista,38.4080934,-4.5006552
Constantina,37.87757,-5.62185
Corcoya,37.2709354,-4.6882819
Coria del Río,37.2892112,-6.0535287
Coripe,36.971831,-5.4403189
Corteconcepción,37.8963289,-6.5073264
Cortegana,37.9093023,-6.8196169
Cortelazor,37.93559,-6.6245719
Cortes de Baza,37.6539949,-2.7695935
Cortes de la Frontera,36.6170845,-5.3426714
Cortijos Nuevos,38.2482595,-2.7248004
Costa Ballena,36.6919838,-6.4117417
Costacabana,36.8383669,-2.3807779
Coto Ríos,38.0464364,-2.848951
Coín,36.6600506,-4.7565615
Cuesta de la Palma,37.1370842,-4.2781424
Cuevas Bajas,37.2355805,-4.4884171
Cuevas de San Marcos,37.2679779,-4.4141396
Cuevas del Almanzora,37.2961366,-1.8807223
Cuevas del Becerro,36.87586,-5.0440091
Cuevas del Campo,37.6179974,-2.9184474
Cumbres Mayores,38.0623177,-6.6466238
Cumbres de San Bartolomé,38.0771839,-6.7432319
Cádiar,36.9257584,-3.1788085
Cádiz,36.5297438,-6.2928976
Cájar,37.1307446,-3.5718194
Cártama,36.7100716,-4.631539
Cástaras,36.9186296,-3.2418464
Cáñar,36.9663181,-3.4237672
Cómpeta,36.832836,-3.9747057
Cónchar,36.9663624,-3.5881041
Córdoba,37.8845813,-4.7760138
Cúllar de Baza,37.5835402,-2.5766049
Cúllar-Vega,37.1535419,-3.6703193
Cútar,36.8310343,-4.2287632
Daimalos,36.8213939,-4.030339
Deifontes,37.3263415,-3.5946529
Dos Hermanas,37.283689,-5.9226718
Dos Torres,38.4442332,-4.8956511
Doña Mencía,37.5545719,-4.3573672
Doña Rama,38.2218479,-5.2730635
Dílar,37.0737362,-3.6010019
Dúdar,37.186106,-3.4836393
Dúrcal,36.9879333,-3.5663828
ENTRERRIOS (Málaga),36.5556836,-4.724146
El Alcornocal,38.1811299,-5.3293024
El Almarchal,36.1446372,-5.8049455
El Almendral,37.1684361,-2.9396939
El Arahal,37.2623933,-5.5449325
El Batán,37.3288889,-3.2142027
El Borge,36.8145004,-4.2348314
El Bosque,36.757294,-5.5067224
El Buitrón,37.6395416,-6.7385924
El Burgo,36.7904469,-4.9480972
El Campillo,36.752666,-2.9900587
El Campillo del Moro,36.7800651,-2.6060568
El Cardete,38.3492307,-2.7117173
El Carpio,37.9388192,-4.4993246
El Castillo de las Guardas,37.6936222,-6.3139109
El Cañal,36.2501441,-5.8907039
El Cañuelo,37.5072249,-4.1628494
El Cerezo,38.0633651,-2.633771
El Cerro,36.8149356,-3.9818573
El Cerro de Andévalo,37.7334975,-6.9384854
El Chaparral,36.0841681,-5.7396619
El Chorro,36.9089333,-4.7599708
El Colmenar,36.5406287,-5.3862884
El Coronil,37.0796909,-5.6329514
El Cuervo,37.1903491,-5.2057085
El Ejido,36.7743863,-2.8124886
El Esparragal,37.5016609,-4.2145505
El Garrobo,37.6244685,-6.1711347
El Gastor,36.8551853,-5.3236056
El Granado,37.5001993,-7.3776249
El Higuerón,37.8670309,-4.8504733
El Judío,37.3675389,-6.898907
El Morche,36.7410359,-3.994949
El Ojuelo,38.256794,-2.700257
El Padul,37.037399,-3.6364399
El Palmar,36.2383198,-6.0626507
El Palo,36.7214915,-4.3596335
El Paraíso,36.4727746,-5.03351
El Pedroso,37.8406468,-5.7645256
El Portil,37.2137583,-7.0484662
El Pozo de los Frailes,36.7885844,-2.1095191
El Puerto de Santa María,36.6004006,-6.2252702
El Quejigo,37.8980036,-6.7353648
El Real de la Jara,37.9494108,-6.1511261
El Rescate,36.787312,-3.755779
El Rocío,37.1337972,-6.4811829
El Rompido,37.2225915,-7.1237849
El Ronquillo,37.7260948,-6.1765564
El Río Chico,36.8294957,-2.9785605
El Saucejo,37.0698592,-5.0970989
El Soto,36.7202279,-5.6418588
El Tarahal,37.3152384,-1.7668823
El Toyo,36.842584,-2.3186661
El Trocadero,36.5121274,-6.2334389
El Viso,38.4832661,-4.9554413
El Viso del Alcor,37.3891783,-5.7224779
Electra Industrial,38.0447366,-3.4694302
Encinarejo De Córdoba,37.8327349,-4.9273173
Encinas Reales,37.2745773,-4.4887626
Encinasola,38.1369242,-6.8718109
Enix,36.8769467,-2.6019386
Escúllar,37.1774623,-2.7347589
Espartinas,37.3814997,-6.125652
Espejo,37.678932,-4.5537827
Espera,36.8716918,-5.8060565
Espiel,38.1885533,-5.0189717
Estación de Cártama,36.7364607,-4.6127054
Estepa,37.29204,-4.8781876
Estepona,36.4268068,-5.1468484
Facinas,36.1435531,-5.7001565
Faraján,36.6162231,-5.1882209
Fernán Pérez,36.9123,-2.0663169
Ferreirola,36.9292262,-3.3134369
Fines,37.360002,-2.2632918
Fiñana,37.1709721,-2.8397107
Fondón,36.9801455,-2.8597547
Fontanar,37.6724221,-2.9725099
Fornes,36.9543333,-3.8555715
Frailes,37.4873237,-3.8370179
Freila,37.5107685,-2.9110243
Frigiliana,36.7909126,-3.8953919
Fuengirola,36.5388398,-4.6233974
Fuensanta de Martos,37.6462911,-3.9110221
Fuente Nueva,37.7117425,-2.4059892
Fuente Obejuna,38.2667683,-5.4197812
Fuente Palmera,37.7049553,-5.099948
Fuente Vaqueros,37.2217225,-3.7760683
Fuente Victoria,36.9850358,-2.8761744
Fuente de Piedra,37.13528,-4.7298858
Fuente-Tójar,37.5107434,-4.145896
Fuente-Álamo,37.4759276,-4.0340494
Fuenteheridos,37.9034873,-6.6617402
Fuentes de Andalucía,37.4645318,-5.3443621
Fuentes de Cesna,37.2712628,-4.2290888
GAUCIN,36.5192377,-5.3177544
Gacia,37.4171151,-1.8509624
Galaroza,37.9262801,-6.7087298
Galera,37.7426081,-2.5507542
Garrucha,37.1853833,-1.820335
Gaucín,36.5192377,-5.3177544
Gelves,37.3395756,-6.0260114
Genalguacil,36.5456361,-5.2359435
Gerena,37.5293784,-6.1556433
Gibraleón,37.3746324,-6.9690748
Gilena,37.2516267,-4.9154115
Gines,37.3877985,-6.0785818
Golco,36.9726443,-3.1518974
Gor,37.376469,-2.9676401
Gorafe,37.5169776,-3.0476384
Graena,37.3037431,-3.2186535
Granada,37.1734995,-3.5995337
Grazalema,36.7583892,-5.366074
Grima,37.3328704,-1.7577475
Guadalcanal,38.0928826,-5.8176004
Guadalcázar,37.7578517,-4.9441631
Guadix,37.3724432,-3.068928
Gualchos,36.7382658,-3.3899284
Guardias Viejas,36.7008594,-2.8418645
Guaro,36.6561223,-4.834406
Guarromán,38.1837551,-3.6855149
Guijo,38.495977,-4.7831015
Guillena,37.5464709,-6.057052
Guájar-Faragüit,36.841441,-3.5842656
Gádor,36.9530744,-2.491623
Gérgal,37.118565,-2.5395634
Gójar,37.0963571,-3.5947635
Güevéjar,37.2570604,-3.597654
Güéjar Sierra,37.1419159,-3.3706977
Haza del Trigo,36.7585824,-3.3121046
Higuera de Arjona,37.7989721,-3.7815046
Higuera de la Sierra,37.8365154,-6.4478855
Hinojales,38.0079199,-6.5882245
Hinojares,37.7155422,-2.9987543
Hinojos,37.2922174,-6.3794314
Hinojosa del Duque,38.5004402,-5.1479244
Hornachuelos,37.8341341,-5.2490384
Hornos,38.216737,-2.7191753
Hozanejos,36.3729171,-6.091184
Huelma,37.6473035,-3.4551806
Huelva,37.2575874,-6.9484945
Huertas Bajas,36.6497918,-4.6975406
Humilladero,37.1372243,-4.6997138
Huércal-Overa,37.3895979,-1.9450652
Huéscar,37.8085844,-2.5398281
Huétor Santillán,37.2184811,-3.5173045
Huétor Vega,37.1484257,-3.565457
Huétor-Tájar,37.2011828,-4.0421642
Híjar,37.1500887,-3.6768336
Hútar,37.8025491,-3.4604439
ISLANTILLA Islantilla,37.2071455,-7.2411453
Ibros,38.020922,-3.501422
Igualeja,36.6314956,-5.1211832
Illar,36.9851023,-2.6391402
Illora,37.2885009,-3.8795173
Inmaculada,36.1623065,-5.3514476
Isla Canela,37.1729688,-7.3764568
Isla Cristina,37.2036925,-7.3238913
Isla del Moral,37.1894188,-7.3413689
Islantilla,37.2066136,-7.2367145
Istán,36.5819684,-4.9495445
Iznajar,37.2572511,-4.3077099
Iznate,36.7762195,-4.1849082
Iznatoraf,38.156867,-3.0327811
Iznájar,37.2572511,-4.3077099
Jabugo,37.9168052,-6.7291607
Jabuguillo,37.8592896,-6.5159947
Jarata,37.5568192,-4.6869064
Jaén,37.7728858,-3.7883289
Jerez,36.6816936,-6.1377402
Jerez de la Frontera,36.6816936,-6.1377402
Jerez del Marquesado,37.1837778,-3.1596338
Jete,36.7974469,-3.6679211
Jimena de la Frontera,36.4327335,-5.4527477
Jimera de Líbar,36.6511847,-5.2742346
Jubrique,36.5642558,-5.2146149
Jódar,37.8406832,-3.3548686
Júzcar,36.6255785,-5.1708129
La Algaba,37.4619114,-6.0137162
La Antilla,37.2075848,-7.2116537
La Barca de la Florida,36.6475792,-5.9348618
La Bobadilla,37.6584471,-4.109
La Cala de Mijas,36.5043738,-4.6807143
